run_id,Acidobacteria,Actinobacteria,Bacteroidetes,Candidatus_Cloacimonetes,Candidatus_Melainabacteria,Chlamydiae,Chloroflexi,Cyanobacteria,Elusimicrobia,Fibrobacteres,Firmicutes,Fusobacteria,Gemmatimonadetes,Ignavibacteriae,Kiritimatiellaeota,Lentisphaerae,Proteobacteria,Spirochaetes,Synergistetes,Tenericutes,Unassigned,Verrucomicrobia,phenotype
SRR5983395,0,0.012079783,0.447139245,0,0,4.68E-05,0,0.000140463,0,0.000280925,0.322595749,4.68E-05,4.68E-05,0,0,0,0.015965914,0,0.000140463,4.68E-05,0.200955146,0.000515029,1
SRR5983396,0,0.00265067,0.826171875,0,0,0,0,6.98E-05,0,6.98E-05,0.106026786,0,0,6.98E-05,0,0,0.007533482,0.000139509,0,0,0.056640625,0.00062779,1
SRR5983397,0.000279642,0.118288591,0.154642058,0,0,0,0.000139821,0,0,0,0.590324385,0.000279642,0.000139821,0,0.000139821,0,0.015799776,0,0,0.000139821,0.118288591,0.001258389,1
SRR5983398,6.71E-05,0.015777106,0.381873112,0,0,6.71E-05,6.71E-05,0.00060423,0,6.71E-05,0.444243035,0,6.71E-05,0,0.000134273,0,0.01591138,0,6.71E-05,0,0.139375629,0.001611279,1
SRR5983399,0.000371379,0.003589998,0.451101758,0,0,0,0,0.008665511,0,0.000371379,0.35194355,0.000123793,0,0,0,0,0.025501362,0,0.000123793,0.007179995,0.107699926,0.04307997,1
SRR5983400,0,0.004535719,0.532379992,0,0,0,0,6.30E-05,0,0.000125992,0.199634623,6.30E-05,6.30E-05,0,0,0,0.011465289,6.30E-05,0,0,0.249212549,0.002393852,1
SRR5983401,8.34E-05,0.006756193,0.391358746,0,0,0,0.00016682,8.34E-05,0,8.34E-05,0.430060889,0.00016682,0,0,0,0,0.029527066,8.34E-05,8.34E-05,8.34E-05,0.139461173,0.001668196,1
SRR5983402,0.000256783,0.026277497,0.340237953,0,0,0,0,0,0,0.000256783,0.429084995,0.000171189,0,0,0,0,0.015578191,0,0,0.000855945,0.136779937,0.050243944,0
SRR5983403,0,0.010344161,0.161832947,0,0,0,9.67E-05,0.000193349,0,0.001450116,0.692865429,0.000290023,9.67E-05,0.000290023,0,0,0.025135344,0,0.000193349,0.011600928,0.090390565,0.005123743,1
SRR5983404,0.000130157,0.008460237,0.504880906,0,0,0,0,0.000260315,0,0,0.291422621,0,0.000130157,0,0.000260315,0,0.011323702,0.000390472,0,0.009501497,0.156709619,0.016530001,0
SRR5983405,0,0.008855937,0.490989599,0,0,0,0,0.000308928,0,0.000102976,0.296776851,0.000205952,0.000102976,0,0,0,0.018844609,0,0,0,0.135310473,0.048501699,1
SRR5983406,0,0.006331786,0.282819755,0,0,0,0.000422119,0.023216547,0,0,0.479105108,0,0,0,0,0,0.009708738,0.000422119,0,0.075559308,0.114816378,0.007598143,1
SRR5983407,0.000180115,0.005763689,0.461815562,0,0,0,0,0.000360231,0,0.000900576,0.394992795,0,0,0,0,0.000180115,0.00648415,0,0.000180115,0,0.129142651,0,1
SRR5983408,0,0.006206238,0.706078931,0,0,0,0.000159134,0,0,0,0.121737747,0,0,0,0,0,0.001432209,0,0,0,0.164067473,0.000318269,0
SRR5983409,0,0.003400488,0.503208007,0,0,0,0,0.001347363,0,0.00012832,0.194597716,0.00012832,0,6.42E-05,6.42E-05,0.001796484,0.000705762,0.000256641,0.00012832,6.42E-05,0.293853458,0.000256641,1
SRR5983410,0,0.00981893,0.538827007,0,0,0,0.00021116,0.00010558,0,0,0.26843689,0,5.28E-05,0,0,0,0.037797603,5.28E-05,0,0,0.14432772,0.00036953,1
SRR5983411,6.94E-05,0.018327606,0.048769482,0,0,0,6.94E-05,0.000451248,0,3.47E-05,0.578256795,0.001596723,0.000138845,0,0,0,0.228157867,0,3.47E-05,0,0.123503072,0.000520671,1
SRR5983412,0,0.001748931,0.447823552,9.72E-05,0,0,0,9.72E-05,0,0.000388651,0.270015546,0.000291489,0,0,0,0.000777303,0.000777303,0,9.72E-05,0,0.276816945,0.000971628,1
SRR5983413,0,0.007732193,0.473483126,0,0,0,9.10E-05,0.000363868,0,0,0.21559174,9.10E-05,0,0,0,0,0.020012735,0,0,0,0.280996998,0.001637406,1
SRR5983414,0,0.002168084,0.50761682,0,0,0,0,0.031266047,0,0.000285274,0.152222286,0.00011411,0,0,0,0.000570548,0.00165459,5.71E-05,0,0,0.299423746,0.004564386,1
SRR5983415,0,0.001673903,0.579065753,0,0,0,0,0.005074018,0,0,0.114505414,0.000156928,0,0,0,0.000209238,0.003557043,0,0,0,0.290683685,0.005074018,1
SRR5983416,0,0.016148171,0.598153021,0,0,0,0.000154775,0.000257958,0,0.000515916,0.229479441,0.000103183,0.000103183,0,0,0,0.020481866,0,0,0,0.133828613,0.000722282,1
